county,city,total_fatal_crashes,total_injury_crashes,alcohol_involved_fatal,alcohol_involved_injury,pedestriannvolved_fatal,pedestrian_involved_injury,bicyclist_involved_fatal,bicyclist_involved_injury,motorcycle_involved_fatal,motorcycle_involved_injury
,Canyon Lake,0,7,0,1,0,0,0,1,0,0
,Cathedral City,6,133,3,21,1,11,0,8,0,12
,Coachella,3,95,0,14,1,9,0,4,0,2
,Corona,16,717,9,60,1,16,0,16,3,86
,Desert Hot Springs,5,104,3,15,2,8,0,5,0,6
,Eastvale,5,204,0,13,2,8,0,9,1,7
,Hemet,7,447,3,50,0,29,0,28,0,23
,Indian Wells,1,20,0,2,0,0,1,2,0,1
,Indio,7,273,0,29,4,16,0,9,0,11
,Jurupa Valley,10,577,4,65,4,28,1,11,2,30
,La Quinta,1,82,1,12,0,1,0,3,0,1
,Lake Elsinore,4,233,4,12,3,9,0,3,0,15
,Menifee,9,251,4,23,2,11,0,9,1,19
,Moreno Valley,14,514,8,47,6,31,0,24,5,33
,Murrieta,7,358,2,27,1,16,0,14,1,27
,Norco,2,87,1,10,1,3,0,1,0,5
,Palm Desert,5,175,2,2,3,13,0,11,2,6
,Palm Springs,12,273,3,32,3,16,1,18,2,12
,Perris,9,285,4,46,2,21,0,11,1,15
,Rancho Mirage,2,68,1,0,1,1,1,2,0,3
,Riverside,30,"1,921",11,151,9,78,2,60,6,119
,San Jacinto,6,193,0,25,2,15,0,6,0,6
,Temecula,3,544,1,62,1,15,0,28,1,62
,Wildomar,4,77,3,5,2,7,0,2,0,11
,Unincorporated,87,"2,212",28,318,14,44,0,33,12,191
,,43,"1,082",13,191,6,32,0,30,5,97
,,44,"1,130",15,127,8,12,0,3,7,94
Sacramento,,164,"8,602",48,819,56,523,6,494,25,425
,Citrus Heights,0,305,0,34,0,13,0,20,0,21
,Elk Grove,8,546,2,43,2,28,0,33,2,18
,Folsom,13,232,8,21,3,5,1,13,2,13
,Galt,2,71,1,6,0,4,0,3,1,3
,Isleton,0,1,0,0,0,0,0,0,0,0
,Rancho Cordova,1,262,0,21,0,16,0,16,0,16
,Sacramento,41,"3,608",12,311,15,251,2,230,6,164
,Unincorporated,99,"3,577",25,383,36,206,3,179,14,190
,,78,"2,787",20,313,34,198,3,174,11,152
,,0,1,0,0,0,0,0,0,0,0
,,21,789,5,70,2,8,0,5,3,38
San Benito,,11,279,4,28,1,4,1,8,3,14
,Hollister,3,51,1,8,1,3,0,6,2,2
,San Juan Bautista,0,3,0,0,0,0,0,0,0,1
,Unincorporated,8,225,3,20,0,1,1,2,1,11
,,4,65,2,8,0,1,1,1,0,5
,,4,160,1,12,0,0,0,1,1,6
San Bernardino,,302,"10,811",96,"1,156",86,539,7,243,40,639
,Adelanto,2,66,0,8,1,3,0,4,0,3
,Apple Valley,9,187,5,27,3,13,0,5,0,12
,Barstow,8,90,5,13,3,19,0,4,0,3
,Big Bear Lake,2,27,2,4,0,2,0,0,1,0
,Chino,5,482,0,49,2,15,1,8,1,28
,Chino Hills,3,129,0,17,1,7,0,5,0,9
,Colton,12,452,5,49,4,16,0,5,1,20
,Fontana,15,799,4,74,4,42,0,26,2,44
,Grand Terrace,1,48,1,2,0,1,0,0,0,3
,Hesperia,13,446,6,55,5,30,0,3,1,22
,Highland,8,146,4,24,1,12,0,3,2,4
,Loma Linda,0,90,0,9,0,3,0,3,0,3
,Montclair,2,291,1,32,1,20,0,12,1,9
,Needles,1,19,0,0,0,1,0,0,0,2
,Ontario,11,"1,350",5,124,2,55,1,29,1,62
,Rancho Cucamonga,10,488,1,49,3,17,0,12,3,35
,Redlands,9,600,4,63,5,25,0,24,1,21
,Rialto,8,448,3,49,4,39,1,14,0,13
,San Bernardino,29,"1,525",11,155,14,111,1,26,4,73
,Twentynine Palms,5,37,0,5,3,3,0,0,1,5
,Upland,1,325,0,28,0,4,0,8,0,21
,Victorville,27,509,12,47,9,33,0,13,6,23
